timeline,survival_prob,segment
0.0,1.0,High Review Score
1.0,1.0,High Review Score
2.0,1.0,High Review Score
3.0,1.0,High Review Score
4.0,1.0,High Review Score
5.0,1.0,High Review Score
6.0,1.0,High Review Score
7.0,1.0,High Review Score
8.0,1.0,High Review Score
9.0,1.0,High Review Score
10.0,1.0,High Review Score
11.0,1.0,High Review Score
12.0,1.0,High Review Score
13.0,1.0,High Review Score
14.0,1.0,High Review Score
15.0,1.0,High Review Score
16.0,1.0,High Review Score
17.0,1.0,High Review Score
18.0,1.0,High Review Score
19.0,1.0,High Review Score
20.0,1.0,High Review Score
21.0,1.0,High Review Score
22.0,1.0,High Review Score
23.0,1.0,High Review Score
24.0,1.0,High Review Score
25.0,1.0,High Review Score
26.0,1.0,High Review Score
27.0,1.0,High Review Score
28.0,1.0,High Review Score
29.0,1.0,High Review Score
30.0,1.0,High Review Score
31.0,1.0,High Review Score
33.0,1.0,High Review Score
34.0,1.0,High Review Score
35.0,1.0,High Review Score
36.0,1.0,High Review Score
37.0,1.0,High Review Score
38.0,1.0,High Review Score
40.0,1.0,High Review Score
41.0,1.0,High Review Score
42.0,1.0,High Review Score
43.0,1.0,High Review Score
44.0,1.0,High Review Score
45.0,1.0,High Review Score
46.0,1.0,High Review Score
47.0,1.0,High Review Score
48.0,1.0,High Review Score
49.0,1.0,High Review Score
50.0,1.0,High Review Score
51.0,1.0,High Review Score
52.0,1.0,High Review Score
53.0,1.0,High Review Score
54.0,1.0,High Review Score
55.0,1.0,High Review Score
56.0,1.0,High Review Score
57.0,1.0,High Review Score
58.0,1.0,High Review Score
59.0,1.0,High Review Score
60.0,1.0,High Review Score
61.0,1.0,High Review Score
62.0,1.0,High Review Score
63.0,1.0,High Review Score
64.0,1.0,High Review Score
65.0,1.0,High Review Score
66.0,1.0,High Review Score
67.0,1.0,High Review Score
68.0,1.0,High Review Score
69.0,1.0,High Review Score
70.0,1.0,High Review Score
71.0,1.0,High Review Score
72.0,1.0,High Review Score
73.0,1.0,High Review Score
74.0,1.0,High Review Score
75.0,1.0,High Review Score
76.0,1.0,High Review Score
77.0,1.0,High Review Score
78.0,1.0,High Review Score
79.0,1.0,High Review Score
80.0,1.0,High Review Score
81.0,1.0,High Review Score
82.0,1.0,High Review Score
83.0,1.0,High Review Score
84.0,1.0,High Review Score
85.0,1.0,High Review Score
86.0,1.0,High Review Score
87.0,1.0,High Review Score
89.0,1.0,High Review Score
90.0,1.0,High Review Score
91.0,1.0,High Review Score
92.0,1.0,High Review Score
93.0,1.0,High Review Score
94.0,1.0,High Review Score
95.0,1.0,High Review Score
96.0,1.0,High Review Score
97.0,1.0,High Review Score
98.0,1.0,High Review Score
99.0,1.0,High Review Score
100.0,1.0,High Review Score
101.0,1.0,High Review Score
102.0,1.0,High Review Score
103.0,1.0,High Review Score
105.0,1.0,High Review Score
106.0,1.0,High Review Score
107.0,1.0,High Review Score
108.0,1.0,High Review Score
109.0,1.0,High Review Score
110.0,1.0,High Review Score
111.0,1.0,High Review Score
112.0,1.0,High Review Score
113.0,1.0,High Review Score
114.0,1.0,High Review Score
115.0,1.0,High Review Score
116.0,1.0,High Review Score
117.0,1.0,High Review Score
118.0,1.0,High Review Score
119.0,1.0,High Review Score
120.0,1.0,High Review Score
121.0,1.0,High Review Score
122.0,1.0,High Review Score
123.0,1.0,High Review Score
124.0,1.0,High Review Score
125.0,1.0,High Review Score
126.0,1.0,High Review Score
127.0,1.0,High Review Score
128.0,1.0,High Review Score
129.0,1.0,High Review Score
130.0,1.0,High Review Score
131.0,1.0,High Review Score
132.0,1.0,High Review Score
133.0,1.0,High Review Score
134.0,1.0,High Review Score
135.0,1.0,High Review Score
136.0,1.0,High Review Score
137.0,1.0,High Review Score
